limitname,max_value,remaining_value,eventdate
DailyBulkApiBatches,15000,5255,2021-06-29 23:13:56
DailyBulkApiBatches,15000,5236,2021-06-30 00:14:51
DailyBulkApiBatches,15000,5236,2021-06-30 01:14:15
DailyBulkApiBatches,15000,5249,2021-06-30 03:13:59
DailyBulkApiBatches,15000,5249,2021-06-30 04:13:29
DailyBulkApiBatches,15000,5241,2021-06-30 05:13:48
DailyBulkApiBatches,15000,5244,2021-06-30 06:14:40
DailyBulkApiBatches,15000,5243,2021-06-30 07:13:33
DailyBulkApiBatches,15000,5243,2021-06-30 08:13:40
DailyBulkApiBatches,15000,5249,2021-06-30 09:13:43
DailyBulkApiBatches,15000,5234,2021-06-30 10:14:27
DailyBulkApiBatches,15000,5243,2021-06-30 11:13:45
DailyBulkApiBatches,15000,5238,2021-06-30 12:13:56
DailyBulkApiBatches,15000,5242,2021-06-30 13:14:01
DailyBulkApiBatches,15000,5242,2021-06-30 15:14:13
DailyBulkApiBatches,15000,5249,2021-06-30 16:13:19
DailyBulkApiBatches,15000,5259,2021-06-30 17:12:21
DailyBulkApiBatches,15000,5251,2021-06-30 18:12:47
DailyBulkApiBatches,15000,5241,2021-06-30 19:15:00
DailyBulkApiBatches,15000,5256,2021-06-30 20:12:42
DailyBulkApiBatches,15000,5248,2021-06-30 21:13:55
DailyBulkApiBatches,15000,5255,2021-06-30 22:12:33
DailyBulkApiBatches,15000,5246,2021-06-30 23:14:14
DailyBulkApiBatches,15000,5255,2021-07-01 00:13:10
DailyBulkApiBatches,15000,5208,2021-07-01 01:14:13
DailyBulkApiBatches,15000,5140,2021-07-01 02:14:04
DailyBulkApiBatches,15000,5088,2021-07-01 03:13:34
DailyBulkApiBatches,15000,5006,2021-07-01 04:14:37
DailyBulkApiBatches,15000,4967,2021-07-01 05:13:22
DailyBulkApiBatches,15000,4910,2021-07-01 06:13:54
DailyBulkApiBatches,15000,4867,2021-07-01 07:12:10
DailyBulkApiBatches,15000,4802,2021-07-01 08:12:13
DailyBulkApiBatches,15000,4734,2021-07-01 09:14:04
